,POU5F1,SOX2,POU5F1::SOX2,KLF4,ESRRB,TFCP2L1,ZFP42,ZFX,NR5A2,AR,ESR1,PGR,THRA,THRB,VDR,NR3C1,NR3C2,RARA,RARA::RXRA,RXRA,PPARA,PPARG,NR1H2,NR1H4,NR1I2,NR1I3,AHR::ARNT,MTF1,NFKB1,REL,NFATC1,NFAT5,STAT1,STAT1::2,STAT3,STAT4,STAT6,IRF1,IRF3,HSF1,NFE2L2,MAF::NFE2,ATF4,ATF6,XBP1,E2F1,MYC,MYBL2,FOS::JUN,FOSL1,ELK1,EGR1,SRF,ATF2,CREB1,TEAD1,TP53,SMAD2::3::4,SMAD4,RBPJ,TCF7,TCF7L2,GLI1,GATA1,GATA3,GATA4,ONECUT1,HNF1A,HNF4A,FOXA1,PAX6,NEUROG2,NFIA,IRX3,GBX2,OTX1,RORA,SOX9,RUNX2,MEF2A,WT1,GRHL1,TFAP2A,FOXO1,NR4A1,NR4A2,CLOCK,NR1D1,HIF1A,NRF1,TFEB,SREBF1,CEBPA,CEBPB,SP1,NFYA,POU2F1,RFX1,HOMEZ,ETS2
POU5F1,1,0.697,1,0.592,0.65,1,0.158,1,0.578,0.498,0.509,0.547,0.646,0.58,0.576,0.533,0.451,0.524,0.524,0.612,0.479,0.479,0.457,0.439,0.57,0.569,0.574,0.542,0.424,0.518,0.463,0.415,0.397,0.397,0.459,0.413,0.48,0.43,0.433,0.433,0.453,0.39,0.524,0.487,0.327,0.534,0.432,0.546,0.491,0.504,0.633,0.461,0.536,0.575,0.459,0.529,0.402,0.547,0.494,0.513,0.517,0.468,0.486,0.505,0.45,0.497,0.626,0.483,0.534,0.586,0.604,0.56,0.516,0.605,0.224,1,0.487,0.412,0.602,0.488,0.485,0.552,0.561,0.438,0.448,0.531,0.504,0.433,0.487,0.482,0.544,0.473,0.505,0.518,0.521,0.483,0.601,0.465,1,0.675
SOX2,0.697,1,0.697,0.613,0.573,0.939,0.197,0.939,0.457,0.528,0.507,0.422,0.545,0.508,0.578,0.452,0.365,0.532,0.532,0.555,0.471,0.525,0.451,0.464,0.513,0.493,0.516,0.439,0.454,0.428,0.466,0.399,0.565,0.565,0.597,0.465,0.466,0.469,0.397,0.392,0.406,0.31,0.512,0.507,0.411,0.498,0.546,0.393,0.435,0.367,0.516,0.454,0.519,0.451,0.444,0.463,0.512,0.583,0.594,0.502,0.447,0.574,0.538,0.527,0.557,0.533,0.463,0.32,0.523,0.589,0.604,0.422,0.307,0.455,0.303,1,0.512,0.567,0.581,0.512,0.532,0.37,0.568,0.502,0.504,0.535,0.467,0.481,0.51,0.337,0.426,0.374,0.546,0.468,0.405,0.302,0.518,0.279,0.939,0.535
POU5F1::SOX2,1,0.697,1,0.592,0.65,1,0.158,1,0.578,0.498,0.509,0.547,0.646,0.58,0.576,0.533,0.451,0.524,0.524,0.612,0.479,0.479,0.457,0.439,0.57,0.569,0.574,0.542,0.424,0.518,0.463,0.415,0.397,0.397,0.459,0.413,0.48,0.43,0.433,0.433,0.453,0.39,0.524,0.487,0.327,0.534,0.432,0.546,0.491,0.504,0.633,0.461,0.536,0.575,0.459,0.529,0.402,0.547,0.494,0.513,0.517,0.468,0.486,0.505,0.45,0.497,0.626,0.483,0.534,0.586,0.604,0.56,0.516,0.605,0.224,1,0.487,0.412,0.602,0.488,0.485,0.552,0.561,0.438,0.448,0.531,0.504,0.433,0.487,0.482,0.544,0.473,0.505,0.518,0.521,0.483,0.601,0.465,1,0.675
KLF4,0.592,0.613,0.592,1,0.549,1,0.129,1,0.449,0.546,0.489,0.483,0.529,0.483,0.562,0.504,0.38,0.542,0.542,0.489,0.521,0.553,0.497,0.496,0.492,0.463,0.532,0.419,0.494,0.495,0.444,0.437,0.506,0.506,0.52,0.416,0.466,0.486,0.443,0.451,0.513,0.276,0.534,0.444,0.455,0.562,0.526,0.441,0.458,0.425,0.479,0.485,0.519,0.552,0.465,0.441,0.488,0.519,0.518,0.497,0.457,0.503,0.458,0.513,0.51,0.474,0.446,0.385,0.49,0.478,0.492,0.402,0.39,0.426,0.186,1,0.531,0.498,0.577,0.452,0.522,0.395,0.552,0.506,0.515,0.485,0.476,0.509,0.548,0.371,0.451,0.425,0.548,0.513,0.528,0.384,0.477,0.335,1,0.5
ESRRB,0.65,0.573,0.65,0.549,1,1,0.184,1,0.619,0.515,0.488,0.572,0.654,0.586,0.527,0.562,0.514,0.497,0.497,0.581,0.454,0.446,0.492,0.438,0.58,0.583,0.511,0.557,0.402,0.425,0.503,0.466,0.372,0.372,0.411,0.428,0.483,0.427,0.395,0.454,0.445,0.429,0.508,0.545,0.368,0.543,0.416,0.598,0.5,0.503,0.616,0.437,0.508,0.527,0.484,0.616,0.388,0.475,0.437,0.489,0.512,0.464,0.503,0.474,0.427,0.451,0.612,0.542,0.531,0.54,0.543,0.542,0.516,0.57,0.236,1,0.498,0.44,0.646,0.509,0.488,0.539,0.542,0.447,0.486,0.527,0.494,0.435,0.437,0.524,0.491,0.473,0.511,0.501,0.525,0.552,0.588,0.451,1,0.653
TFCP2L1,1,0.939,1,1,1,1,0.075,1,0.939,1,1,1,1,0.814,0.814,1,1,0.814,0.814,1,0.814,1,0.814,1,0.939,0.814,1,1,0.814,0.814,0.814,0.814,0.814,0.814,1,0.814,1,0.814,0.814,1,1,0.695,1,1,0.814,0.939,1,1,1,1,1,1,0.814,1,0.814,0.814,0.939,0.814,0.814,0.814,1,1,0.814,0.814,0.814,0.939,0.939,1,1,1,1,1,0.939,1,0.066,0.814,0.939,0.814,1,0.814,1,1,1,0.814,0.814,0.814,1,0.814,1,1,0.939,1,0.939,0.939,1,0.939,0.814,1,1,1
ZFP42,0.158,0.197,0.158,0.129,0.184,0.075,1,0.075,0.151,0.204,0.106,0.128,0.111,0.134,0.18,0.096,0.113,0.137,0.137,0.148,0.105,0.148,0.097,0.111,0.123,0.134,0.147,0.207,0.095,0.114,0.174,0.142,0.136,0.136,0.143,0.128,0.122,0.143,0.118,0.125,0.105,0.196,0.129,0.194,0.144,0.131,0.141,0.215,0.106,0.1,0.133,0.125,0.171,0.129,0.11,0.209,0.141,0.156,0.153,0.191,0.126,0.162,0.164,0.236,0.215,0.244,0.149,0.091,0.139,0.177,0.221,0.172,0.066,0.172,0.322,0.062,0.134,0.229,0.173,0.196,0.296,0.123,0.197,0.145,0.171,0.173,0.147,0.109,0.114,0.138,0.21,0.091,0.184,0.212,0.095,0.06,0.139,0.098,0.075,0.235
ZFX,1,0.939,1,1,1,1,0.075,1,0.939,1,1,1,1,0.814,0.814,1,1,0.814,0.814,1,0.814,1,0.814,1,0.939,0.814,1,1,0.814,0.814,0.814,0.814,0.814,0.814,1,0.814,1,0.814,0.814,1,1,0.695,1,1,0.814,0.939,1,1,1,1,1,1,0.814,1,0.814,0.814,0.939,0.814,0.814,0.814,1,1,0.814,0.814,0.814,0.939,0.939,1,1,1,1,1,0.939,1,0.066,0.814,0.939,0.814,1,0.814,1,1,1,0.814,0.814,0.814,1,0.814,1,1,0.939,1,0.939,0.939,1,0.939,0.814,1,1,1
NR5A2,0.578,0.457,0.578,0.449,0.619,0.939,0.151,0.939,1,0.569,0.581,0.644,0.722,0.701,0.552,0.679,0.611,0.504,0.504,0.611,0.445,0.453,0.469,0.476,0.621,0.647,0.533,0.559,0.436,0.442,0.508,0.486,0.431,0.431,0.48,0.514,0.539,0.406,0.393,0.447,0.479,0.44,0.524,0.552,0.403,0.499,0.367,0.567,0.56,0.483,0.58,0.457,0.479,0.518,0.517,0.674,0.401,0.514,0.452,0.499,0.526,0.459,0.508,0.43,0.4,0.429,0.555,0.574,0.578,0.515,0.524,0.524,0.599,0.561,0.243,1,0.527,0.386,0.603,0.442,0.472,0.619,0.485,0.463,0.508,0.549,0.493,0.466,0.45,0.484,0.486,0.495,0.522,0.447,0.518,0.585,0.598,0.445,0.939,0.592
AR,0.498,0.528,0.498,0.546,0.515,1,0.204,1,0.569,1,0.71,0.708,0.643,0.617,0.604,0.731,0.642,0.68,0.68,0.573,0.519,0.56,0.453,0.554,0.595,0.578,0.584,0.407,0.552,0.513,0.539,0.543,0.526,0.526,0.579,0.546,0.609,0.507,0.458,0.539,0.558,0.281,0.576,0.566,0.497,0.585,0.565,0.488,0.572,0.492,0.466,0.515,0.495,0.514,0.595,0.548,0.545,0.549,0.531,0.53,0.532,0.548,0.556,0.536,0.536,0.496,0.417,0.398,0.496,0.531,0.421,0.397,0.398,0.386,0.133,1,0.576,0.525,0.58,0.497,0.533,0.38,0.532,0.506,0.58,0.612,0.591,0.522,0.592,0.399,0.467,0.466,0.535,0.525,0.484,0.438,0.534,0.352,1,0.458
